sampling_campaign;site;tBeg;tEnd;sample_name;operator;value;parameter;unit;comment;siteCode;variableCode;labSampleCode;tMid
1;Weidendammer Brücke;2016-07-13 17:05:00;2016-07-13 17:45:00;Weid_3;;0.017;SMX;µg/L;;KWB_WEID;SMX;O2016-16335;2016-07-13 17:25:00
1;Weidendammer Brücke;2016-07-13 17:05:00;2016-07-13 17:45:00;Weid_3;;NA;PRI;µg/L;;KWB_WEID;PRI;O2016-16335;2016-07-13 17:25:00
1;Weidendammer Brücke;2016-07-13 17:05:00;2016-07-13 17:45:00;Weid_3;;0.118;MTP;µg/L;;KWB_WEID;MTP;O2016-16335;2016-07-13 17:25:00
1;Weidendammer Brücke;2016-07-13 17:05:00;2016-07-13 17:45:00;Weid_3;;0.343;MBT;µg/L;;KWB_WEID;MBT;O2016-16335;2016-07-13 17:25:00
1;Weidendammer Brücke;2016-07-13 17:05:00;2016-07-13 17:45:00;Weid_3;;0.497;OLM;µg/L;;KWB_WEID;OLM;O2016-16335;2016-07-13 17:25:00
1;Weidendammer Brücke;2016-07-13 17:05:00;2016-07-13 17:45:00;Weid_3;;0.098;CBZ;µg/L;;KWB_WEID;CBZ;O2016-16335;2016-07-13 17:25:00
1;Weidendammer Brücke;2016-07-13 17:05:00;2016-07-13 17:45:00;Weid_3;;0.559;VSA;µg/L;;KWB_WEID;VSA;O2016-16335;2016-07-13 17:25:00
1;Weidendammer Brücke;2016-07-13 17:05:00;2016-07-13 17:45:00;Weid_3;;0.889;CAN;µg/L;;KWB_WEID;CAN;O2016-16335;2016-07-13 17:25:00
1;Weidendammer Brücke;2016-07-13 17:05:00;2016-07-13 17:45:00;Weid_3;;0.648;VAL;µg/L;;KWB_WEID;VAL;O2016-16335;2016-07-13 17:25:00
1;Weidendammer Brücke;2016-07-13 17:05:00;2016-07-13 17:45:00;Weid_3;;38.5;Cl;mg/L;;KWB_WEID;Cl;O2016-16335;2016-07-13 17:25:00
1;Weidendammer Brücke;2016-07-13 17:05:00;2016-07-13 17:45:00;Weid_3;;0.57;NO3_N_filtered;mg/L;;KWB_WEID;NO3N;O2016-16335;2016-07-13 17:25:00
1;Weidendammer Brücke;2016-07-13 17:05:00;2016-07-13 17:45:00;Weid_3;;143;SO4;mg/L;;KWB_WEID;SO4;O2016-16335;2016-07-13 17:25:00
1;Weidendammer Brücke;2016-07-13 17:05:00;2016-07-13 17:45:00;Weid_3;;8150;SomPh;cfu/100 mL;;KWB_WEID;SoCp;O2016-16335;2016-07-13 17:25:00
